<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Stereo 3.5mm Mini Jack inputξξ</li>
</ul>
</div>
ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Output</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">Monitor out (VGA), Audio out (3.5 mm)
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>VGA x 2ξξ</li>
<li>HDMI 1.4ξξ</li>
<li>S-Videoξξ</li>
<li>Compositeξξ</li>
<li>RS232Cξξ</li>
<li>USB Mini-B (for control & firmware)ξξ</li>
<li>Stereo 3.5mm Mini Jack outputξξ</li>
<li>VGA Monitor Outputξξ</li>
</ul>
</div>
ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Speaker</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">2W (1 x 2W)ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Kesesuaian Video</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">SDTV (NTSC, PAL, SECAM, 480i, 576i), ED/HDTV (480p, 576p, 720p, 1080i, 1080p)ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Daya / Power</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">100-240 Volts at 50-60 Hzξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Konsumsi Daya</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>High : 235 Wattξξ</li>
<li>Max : 260 Wattξξ</li>
</ul>
</div>
ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Dimensi</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">327 mm x 230 mm x 133 mm (W x D x H)ξ</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Berat</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">2.72ξ</td>
</tr>
</tbody>
</table>
